Timestamp,Do you feel comfortable listing your gender and sexual orientation?,Classification,Major,Race/Ethnicity,Gender,How would you rate the layout of the campus and how easy it is to navigate?,How satisfied are you with your experience in your major so far?  ,How would you rate UNCG on the aspect of affordability?, How would you rate the social life at the University of North Carolina at Greensboro (UNCG)?  ,"How would you rate your experience with campus wide facilities (dorm, health center, gym, parking decks, cafeteria, etc.)?",How would you rate your experience in your classes at UNCG?,How would you rate your experience with your professors at UNCG?,How would you rate UNCG on catering to students with Mental Health issues?,How would you rate the University of North Carolina at Greensboro (UNCG) in terms of offering interesting and exciting events throughout the semesters?  ,How would you rate the University of North Carolina at Greensboro (UNCG) in terms of preparing you to be a qualified applicant in the job market?  ,How would you rate UNCG extracurriculars?,How would you rate UNCG on a diversity/inclusivity aspect?,Sexual Orientation
3/27/2025 23:06:27,,Senior,Information Science ,Black/African-American,Male,4,3,3,2,3,4,4,4,5,3,4,4,Heterosexual
3/30/2025 23:19:23,,Junior,Psychology,Black/African-American,Transgender,4,5,4,3,4,5,4,3,5,5,5,5,Asexual
4/8/2025 11:24:43,,Sophomore,Media Studies,Caucasian,Male,5,2,3,3,3,4,5,4,1,3,1,4,Pansexual
4/8/2025 12:34:03,,Freshman,Exploratory,Black/African-American,Female,4,4,2,4,5,3,4,4,4,4,5,4,Heterosexual
4/8/2025 12:36:06,,Sophomore,Biology,Black/African-American,Female,4,4,2,3,2,3,3,3,4,2,3,3,Heterosexual
4/8/2025 12:50:36,,Freshman,Communications ,Mixed,Male,4,4,3,4,3,3,4,3,5,3,4,5,Heterosexual
4/8/2025 12:59:27,,Junior,Media Studies,Mixed,Female,5,4,3,4,3,3,4,3,4,3,3,5,Pansexual
4/8/2025 13:10:17,,Freshman,Hospitality & Tourism Management,Caucasian,Male,4,5,4,5,4,5,5,3,2,3,5,5,Heterosexual
4/8/2025 13:59:03,,Sophomore,Art History + Media Studies,Caucasian,Female,4,3,4,3,3,4,5,3,4,4,3,4,Homosexual
4/8/2025 14:48:55,,Junior,English,Black/African-American,Male,4,5,3,5,3,4,4,2,3,3,4,5,Homosexual
4/8/2025 15:01:20,,Freshman,Accounting and Finance,Mixed,Female,4,4,4,4,3,5,5,5,5,5,5,5,Heterosexual
4/8/2025 19:59:18,,Senior,Media Studies,Black/African-American,Male,3,3,3,3,3,3,3,3,3,3,3,3,Heterosexual
4/9/2025 14:00:35,,Senior,Business Administration,Caucasian,Female,5,5,5,5,4,5,4,5,5,4,5,5,Heterosexual
4/9/2025 17:34:28,,Senior,Media Studies,Mixed,Male,5,4,3,3,5,5,5,4,5,4,4,5,Heterosexual
4/9/2025 23:55:05,,Junior,Media Studies,Black/African-American,Male,5,5,3,3,4,5,5,4,4,4,4,5,Heterosexual
4/10/2025 15:50:41,,Senior,Media Studies,Caucasian,Female,5,4,2,4,4,4,4,3,4,4,4,4,Heterosexual
